Accuracy;0.9
Precision;0.9
Precision Usa;0.98
Precision Japan;0.62
Precision West-germany;0.59
Precision Canada;0.41
Precision Uk;0.53
Precision France;0.52
Recall;0.9
Recall Usa;0.98
Recall Japan;0.62
Recall West-germany;0.59
Recall Canada;0.41
Recall Uk;0.53
Recall France;0.52
F1 Usa;0.95
F1 Japan;0.73
F1 West-germany;0.68
F1 Canada;0.56
F1 Uk;0.6
F1 France;0.67
F1;0.9
